in s,C1 in V,C3 in V
-1.400E-07,2.34863E-02,1.86035E-02
-1.398E-07,1.27441E-02,1.32324E-02
-1.396E-07,3.46680E-03,3.46680E-03
-1.394E-07,2.49023E-03,-9.27734E-04
-1.392E-07,7.37305E-03,2.49023E-03
-1.390E-07,9.32617E-03,6.88477E-03
-1.388E-07,5.90820E-03,5.90820E-03
-1.386E-07,3.95508E-03,5.41992E-03
-1.384E-07,2.97852E-03,3.95508E-03
-1.382E-07,2.97852E-03,2.97852E-03
-1.380E-07,5.41992E-03,1.51367E-03
-1.378E-07,8.34961E-03,3.95508E-03
-1.376E-07,8.83789E-03,7.37305E-03
-1.374E-07,6.39648E-03,8.34961E-03
-1.372E-07,5.41992E-03,5.41992E-03
-1.370E-07,2.49023E-03,2.49023E-03
-1.368E-07,2.49023E-03,1.51367E-03
-1.366E-07,3.46680E-03,1.51367E-03
-1.364E-07,5.41992E-03,2.49023E-03
-1.362E-07,4.44336E-03,1.51367E-03
-1.360E-07,4.44336E-03,2.97852E-03
-1.358E-07,2.00195E-03,6.39648E-03
-1.356E-07,1.02539E-03,6.88477E-03
-1.354E-07,2.97852E-03,6.39648E-03
-1.352E-07,6.39648E-03,4.44336E-03
-1.350E-07,8.34961E-03,3.46680E-03
-1.348E-07,8.83789E-03,4.93164E-03
-1.346E-07,7.37305E-03,4.93164E-03
-1.344E-07,7.86133E-03,4.93164E-03
-1.342E-07,7.37305E-03,3.95508E-03
-1.340E-07,6.39648E-03,2.49023E-03
-1.338E-07,6.88477E-03,4.88281E-05
-1.336E-07,7.86133E-03,4.88281E-05
-1.334E-07,7.86133E-03,3.46680E-03
-1.332E-07,4.93164E-03,5.41992E-03
-1.330E-07,2.00195E-03,6.88477E-03
-1.328E-07,4.88281E-05,5.41992E-03
-1.326E-07,1.02539E-03,4.93164E-03
-1.324E-07,3.46680E-03,3.95508E-03
-1.322E-07,4.93164E-03,2.00195E-03
-1.320E-07,5.41992E-03,-4.39453E-04
-1.318E-07,3.46680E-03,-9.27734E-04
-1.316E-07,1.02539E-03,-4.39453E-04
-1.314E-07,5.37109E-04,1.51367E-03
-1.312E-07,4.93164E-03,2.00195E-03
-1.310E-07,4.93164E-03,3.95508E-03
-1.308E-07,4.44336E-03,3.46680E-03
-1.306E-07,7.37305E-03,1.51367E-03
-1.304E-07,1.56738E-02,2.97852E-03
-1.302E-07,2.15332E-02,8.83789E-03
-1.300E-07,1.86035E-02,7.37305E-03
-1.298E-07,6.88477E-03,5.37109E-04
-1.296E-07,-2.88086E-03,-5.81055E-03
-1.294E-07,-7.27539E-03,-5.81055E-03
-1.292E-07,-3.36914E-03,-2.88086E-03
-1.290E-07,-1.41602E-03,5.37109E-04
-1.288E-07,5.37109E-04,-4.39453E-04
-1.286E-07,4.88281E-05,4.88281E-05
-1.284E-07,2.49023E-03,1.02539E-03
-1.282E-07,2.49023E-03,2.97852E-03
-1.280E-07,2.97852E-03,3.46680E-03
-1.278E-07,3.95508E-03,4.93164E-03
-1.276E-07,7.37305E-03,2.49023E-03
-1.274E-07,7.86133E-03,2.97852E-03
-1.272E-07,6.39648E-03,2.97852E-03
-1.270E-07,3.46680E-03,2.49023E-03
